orgID,oldID,Material,Description,PartTypeID,Material type,Material Group,Price,Price Unit,Notes
1,21,07117984-01,"BRACKET, MODIFIED, FACEPLATE, NIC, GRANI",15,ZROH,03,"1,400.00",1000,
1,22,07120441,"SCREW, PHP, 6-32 x .75 SQ CONE, STL ZI",17,ZROH,05,38.58,1000,
1,23,07121450,"Fan, 80x80x25mm, 10500 RPM, Operating Vo",15,ZROH,03,"5,276.76",1000,
1,24,07123531,"BRACKET, MOUNTING, FAN, ISOLATED, RB",15,ZROH,03,"1,884.29",1000,
1,25,07124798,"Option, Memory, Goofer, 16GB, Dual RANK,",24,ZMOD,SM009,,,
1,26,07124799,"Options, CSSD, Secure Case, Sandforce 22",24,ZMOD,05,,,
1,27,07125249,"Assy, Fan Module, Rackback",24,ZMOD,05,,,
1,28,07128268,"BRACKET, RETAINER, NIC, ICEFYRE",15,ZROH,03,"1,396.37",1000,
1,29,07130827,"SCREW, PHP, M5x10mm Cross Recessed, Plas",17,ZROH,05,63.96,1000,
1,30,07131090,"Option, Assy, PCBA, Rackback, Choose 1",24,ZMOD,05,,,
1,31,07131107,"Option, Assy, PCBA, Flatback, Choose 1",24,ZMOD,05,,,4/25 - no inventory currently present
1,32,07132806,"Label, White, 0.5in x 0.2in, Polyester,",11,ZROH,05,8.80,1000,
