Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
MG6200,FW62,,Capacitor - Others (E-cap),07/15/2022,ZROH,UMOTHR,KPC,SP4,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG620C,FW62,,Capacitor - Ceramic(SMT MLCC),07/15/2022,ZROH,UMOTHR,KPC,SP4,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG6300,FW62,,Inductor(???),07/15/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG7100,FW62,,Frequency Unit,07/15/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG7200,FW62,,Ferrite bead(?????),07/15/2022,ZROH,UMOTHR,KPC,SP4,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG7300,FW62,,Electromechanical Component,07/15/2022,ZROH,UMOTHR,KPC,SP4,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG8900,FW62,,Chemical Battery,07/15/2022,ZROH,UMOTHR,EA,SP5,B,PD,3000,V,0.00,USD,1,FIIWENG02
MMD-04BZ-100M-G,FW62,,"Coil Ind,Shielded(SHLD),",09/07/2022,ZROH,UMOTHR,KPC,FWJ,A,PD,3000,V,"1,100.00",USD,10,FIIWENG02
MMD-06CZ-R33M-X1-E3-G,FW62,,Coil Ind,09/07/2022,ZROH,UMOTHR,KPC,FWJ,A,PD,3000,V,0.00,USD,1,FIIWENG02
MMD-12EZ-R68M-V1-E3-G,FW62,,Coil Ind,09/07/2022,ZROH,UMOTHR,KPC,FWJ,A,PD,3000,V,0.00,USD,1,FIIWENG02
MP-00000024-004,FW61,,"CAP,X7R,0603,0.22UF,25V,10%",09/28/2021,ZROH,UMOTHR,KPC,FW3,C,PD,3000,V,0.00,USD,10,FIIWENG02
